rpm,omega_rad_s,T_mean_Nm,delta_E_J,I_flywheel_kgm2,flow_l_min
1,0.10471975511965977,15.508864537075569,117.32281221515294,713237.1721132213,0.0212057504117311
2,0.20943951023931953,15.508864537075569,117.32281200759313,178309.29271285224,0.0424115008234622
5,0.5235987755982988,15.508864537075569,117.32281055467463,28529.48648074895,0.1060287520586555
10,1.0471975511965976,15.508864537075569,117.3228053656799,7132.371304734185,0.212057504117311
20,2.0943951023931953,15.508864537075565,117.32278460970099,1783.0925107304936,0.424115008234622
30,3.1415926535897927,15.508864537075565,117.32275001640282,792.4853266557361,0.636172512351933
50,5.235987755982989,15.508864537075565,117.32263931784867,285.29444840946,1.060287520586555
100,10.471975511965978,15.508864537075567,117.32212041837614,71.32329664931252,2.12057504117311
200,20.943951023931955,15.508864537075569,117.32004482048593,17.830508709275627,4.24115008234622
500,52.35987755982988,15.508864537075565,117.30552719612712,2.8525283671920114,10.60287520586555
1000,104.71975511965977,15.508864537075569,117.25406075864076,0.7128192133761645,21.2057504117311
1500,157.07963267948966,15.508864537075562,117.16957976982016,0.3165802802440932,31.808625617596647
2000,209.43951023931953,15.508864537075567,117.05395016479308,0.17790067171062085,42.4115008234622
